MAL_ID,Name,Score,Genres,English name,,Type,Episodes,Aired,Premiered,,,Studios,Source,,Rating,Ranked,Popularity,,Favorites,Watching,Completed,,Dropped
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",One Piece,,TV,Unknown,"Oct 20, 1999 to ?",Fall 1999,,,Toei Animation,Manga,,PG-13 - Teens 13 or older,95,31,,126645,887333,33,,136245
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",The Prince of Tennis,,TV,178,"Oct 10, 2001 to Mar 23, 2005",Fall 2001,,,Trans Arts,Manga,,PG-13 - Teens 13 or older,675,1039,,3124,11235,76881,,12516
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",Unknown,,TV,12,"Oct 6, 2004 to Dec 15, 2004",Fall 2004,,,Toei Animation,Manga,,PG - Children,6493,7333,,16,170,1333,,296
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",School Rumble,,TV,26,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,,,Studio Comet,Manga,,PG-13 - Teens 13 or older,625,514,,5137,12277,157789,,13491
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,,TV,24,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,,,Gonzo,Manga,,R - 17+ (violence & profanity),1844,1284,,790,6273,53819,,7951
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,,TV,22,"Apr 17, 2003 to Sep 25, 2003",Spring 2003,,,Madhouse,Original,,R+ - Mild Nudity,896,823,,3671,11335,47532,,8112
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",Trinity Blood,,TV,24,"Apr 29, 2005 to Oct 28, 2005",Spring 2005,,,Gonzo,Light novel,,R - 17+ (violence & profanity),2240,936,,1479,7794,87958,,9349
28,Yakitate!! Japan,7.95,"Comedy, Shounen",Yakitate!! Japan,,TV,69,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,,,Sunrise,Manga,,PG-13 - Teens 13 or older,609,1666,,887,5007,39992,,4633
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",Unknown,,TV,26,"Oct 8, 2004 to Apr 1, 2005",Fall 2004,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,1565,3985,,152,857,6807,,599
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,,TV,26,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,,,"Gainax, Tatsunoko Production",Original,,PG-13 - Teens 13 or older,208,54,,71308,66549,815938,,20358
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Neon Genesis Evangelion:Death & Rebirth,,Movie,1,15-Mar-97,Unknown,,,"Gainax, Production I.G",Original,,R - 17+ (violence & profanity),1742,833,,588,1941,146202,,961
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion:The End of Evangelion,,Movie,1,19-Jul-97,Unknown,,,"Gainax, Production I.G",Original,,R+ - Mild Nudity,102,195,,17811,8055,482918,,1499
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",Berserk,,TV,25,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,,,OLM,Manga,,R+ - Mild Nudity,108,301,,18567,19540,276588,,9406
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Ghost in the Shell,,Movie,1,18-Nov-95,Unknown,,,Production I.G,Manga,,R+ - Mild Nudity,236,265,,10362,8152,325682,,1927
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",Samurai X:Trust and Betrayal,,OVA,4,"Feb 20, 1999 to Sep 22, 1999",Unknown,,,Studio Deen,Manga,,R - 17+ (violence & profanity),37,637,,6111,6359,150183,,1836
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",Rurouni Kenshin,,TV,94,"Jan 10, 1996 to Sep 8, 1998",Winter 1996,,,"Gallop, Studio Deen",Manga,,PG-13 - Teens 13 or older,220,345,,11236,29540,216154,,18588
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Samurai X:The Motion Picture,,Movie,1,20-Dec-97,Unknown,,,Gallop,Manga,,R - 17+ (violence & profanity),1397,2411,,107,547,34481,,228
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",AKIRA,,Movie,1,16-Jul-88,Unknown,,,Tokyo Movie Shinsha,Manga,,R+ - Mild Nudity,333,197,,9555,8258,434086,,2174
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,,TV,26,"Apr 4, 2002 to Sep 26, 2002",Spring 2002,,,Bee Train,Original,,PG-13 - Teens 13 or older,3687,940,,1359,6733,91528,,11881
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",Oh! My Goddess,,OVA,5,"Feb 21, 1993 to May 17, 1994",Unknown,,,AIC,Manga,,PG-13 - Teens 13 or older,2226,2360,,267,993,34581,,894
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,,TV,24,"Jan 7, 2005 to Jul 8, 2005",Winter 2005,,,AIC,Manga,,PG-13 - Teens 13 or older,2116,1083,,1124,5841,85884,,7971
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",Angel Sanctuary,,OVA,3,"May 25, 2000 to Aug 25, 2000",Unknown,,,Hal Film Maker,Manga,,R+ - Mild Nudity,6823,2419,,215,812,32981,,1311
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",Battle Doll Angelic Layer,,TV,26,"Apr 1, 2001 to Sep 23, 2001",Spring 2001,,,Bones,Manga,,PG-13 - Teens 13 or older,2529,2232,,290,1653,32978,,2852
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,,TV,24,"Apr 11, 2002 to Sep 26, 2002",Spring 2002,,,J.C.Staff,Manga,,PG-13 - Teens 13 or older,3012,1465,,458,4111,60075,,5814
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Unknown,,Movie,1,17-Apr-04,Unknown,,,Digital Frontier,Manga,,R - 17+ (violence & profanity),3206,1901,,173,787,52100,,489
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",Unknown,,TV,26,"Apr 5, 1999 to Sep 11, 1999",Spring 1999,,,Bee Train,Game,,R - 17+ (violence & profanity),5738,4259,,17,581,7032,,910
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",Unknown,,TV,13,"Oct 2, 2003 to Dec 25, 2003",Fall 2003,,,"Bee Train, Xebec",Original,,R - 17+ (violence & profanity),8501,4073,,21,617,7906,,1255
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",Beck:Mongolian Chop Squad,,TV,26,"Oct 7, 2004 to Mar 31, 2005",Fall 2004,,,Madhouse,Manga,,R - 17+ (violence & profanity),221,570,,7038,10580,133432,,8488
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,,TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,,,AIC,Original,,R+ - Mild Nudity,3455,1886,,389,2738,31583,,3195
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,,TV,26,"Apr 3, 2002 to Sep 25, 2002",Spring 2002,,,Madhouse,Manga,,PG-13 - Teens 13 or older,1804,332,,3859,15294,272425,,22409
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",Chrono Crusade,,TV,24,"Nov 25, 2003 to Jun 10, 2004",Fall 2003,,,Gonzo,Manga,,R - 17+ (violence & profanity),1120,742,,2064,8228,117484,,9842
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",D.N.Angel,,TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,,,Xebec,Manga,,PG-13 - Teens 13 or older,2761,891,,1523,5183,117045,,11057
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",D.C.~Da Capo~,,TV,26,"Jul 5, 2003 to Dec 27, 2003",Summer 2003,,,"feel., Zexcs",Visual novel,,PG-13 - Teens 13 or older,4589,1852,,189,3024,36037,,3852
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",DearS,,TV,12,"Jul 11, 2004 to Sep 26, 2004",Summer 2004,,,Daume,Manga,,R+ - Mild Nudity,5274,1146,,391,3766,95113,,5507
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,,TV,12,"Oct 8, 2004 to Dec 24, 2004",Fall 2004,,,Nomad,Manga,,PG-13 - Teens 13 or older,1782,846,,2074,5599,113914,,7852
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden:Träumend,,TV,12,"Oct 21, 2005 to Jan 27, 2006",Fall 2005,,,Nomad,Manga,,PG-13 - Teens 13 or older,1146,1479,,516,2006,73523,,1647
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",Azumanga Daioh:The Animation,,TV,26,"Apr 9, 2002 to Oct 1, 2002",Spring 2002,,,J.C.Staff,4-koma manga,,PG-13 - Teens 13 or older,555,554,,5181,13747,143431,,13115
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",Basilisk,,TV,24,"Apr 13, 2005 to Sep 21, 2005",Spring 2005,,,Gonzo,Manga,,R - 17+ (violence & profanity),1325,940,,1467,6964,82153,,6957
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",Black Cat,,TV,23,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,,,Gonzo,Manga,,PG-13 - Teens 13 or older,1965,622,,1955,10510,142921,,11003
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",Unknown,,TV,25,"Oct 5, 2005 to Mar 29, 2006",Fall 2005,,,Sunrise,Original,,PG-13 - Teens 13 or older,6646,5061,,13,500,3068,,942
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",Full Metal Panic!,,TV,24,"Jan 8, 2002 to Jun 18, 2002",Winter 2002,,,Gonzo,Light novel,,R - 17+ (violence & profanity),1146,322,,4417,17458,264665,,13806
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",Full Metal Panic? Fumoffu,,TV,12,"Aug 26, 2003 to Oct 18, 2003",Summer 2003,,,Kyoto Animation,Light novel,,PG-13 - Teens 13 or older,452,571,,2988,5383,204041,,3533
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",Full Metal Panic! The Second Raid,,TV,13,"Jul 14, 2005 to Oct 20, 2005",Summer 2005,,,Kyoto Animation,Light novel,,R - 17+ (violence & profanity),579,639,,1358,4667,177524,,2271
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",Gakuen Alice,,TV,26,"Oct 30, 2004 to May 14, 2005",Fall 2004,,,Group TAC,Manga,,G - All Ages,1158,1640,,1613,2495,57369,,2916
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",Fafner of the Blue Sky,,TV,25,"Jul 5, 2004 to Dec 27, 2004",Summer 2004,,,Xebec,Original,,PG-13 - Teens 13 or older,2348,2523,,255,2179,16417,,1987
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha,,TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,,,Seven Arcs,Original,,PG-13 - Teens 13 or older,1828,1550,,1036,3287,47731,,2625
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha A's,,TV,13,"Oct 2, 2005 to Dec 25, 2005",Fall 2005,,,Seven Arcs,Original,,PG-13 - Teens 13 or older,551,2075,,1014,1367,40165,,828
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",Shuffle!,,TV,24,"Jul 8, 2005 to Jan 6, 2006",Summer 2005,,,Asread,Visual novel,,R+ - Mild Nudity,3231,600,,1572,10943,151944,,13227
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",Mobile Suit Gundam,,TV,43,"Apr 7, 1979 to Jan 26, 1980",Spring 1979,,,Sunrise,Original,,PG-13 - Teens 13 or older,867,1427,,1787,7737,52669,,3100
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",Mobile Suit Gundam:The 08th MS Team,,OVA,12,"Jan 25, 1996 to Jul 25, 1999",Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,511,1948,,911,2405,43537,,794
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam 0080:War in the Pocket,,OVA,6,"Mar 25, 1989 to Aug 25, 1989",Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,677,2444,,717,978,30112,,392
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Unknown,,Movie,1,1-Aug-98,Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,4498,4660,,3,149,8314,,136
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",Mobile Suit Gundam 0083:Stardust Memory,,OVA,13,"May 23, 1991 to Sep 24, 1992",Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,2361,2791,,230,977,24492,,448
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam,,TV,50,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,,,Sunrise,Original,,PG-13 - Teens 13 or older,655,2159,,1721,3912,32798,,1049
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",Mobile Suit Gundam ZZ,,TV,47,"Mar 1, 1986 to Jan 31, 1987",Spring 1986,,,Sunrise,Original,,PG-13 - Teens 13 or older,5111,2941,,130,1647,18408,,917
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam:Char's Counterattack,,Movie,1,12-Mar-88,Unknown,,,"Sunrise, Studio Hibari",Novel,,PG-13 - Teens 13 or older,1084,2773,,293,437,25957,,171
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam F91,,Movie,1,16-Mar-91,Unknown,,,Sunrise,Unknown,,PG-13 - Teens 13 or older,5049,3387,,63,357,16731,,193
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit V Gundam,,TV,51,"Apr 2, 1993 to Mar 25, 1994",Spring 1993,,,"Sunrise, Studio Deen",Original,,PG-13 - Teens 13 or older,4632,3588,,95,1225,10068,,628
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam Wing,,TV,49,"Apr 7, 1995 to Mar 29, 1996",Spring 1995,,,Sunrise,Original,,PG-13 - Teens 13 or older,984,1118,,2538,5922,95155,,4411
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam Wing:Endless Waltz,,OVA,3,"Jan 25, 1997 to Jul 25, 1997",Unknown,,,Sunrise,Original,,PG-13 - Teens 13 or older,897,2512,,221,500,34369,,250
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",After War Gundam X,,TV,39,"Apr 5, 1996 to Dec 28, 1996",Spring 1996,,,Sunrise,Original,,PG-13 - Teens 13 or older,2228,3043,,189,1554,15987,,983
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Mobile Suit Gundam SEED,,TV,50,"Oct 5, 2002 to Sep 27, 2003",Fall 2002,,,Sunrise,Original,,R - 17+ (violence & profanity),850,1057,,3584,4898,101920,,5021
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Unknown,,TV,50,"Oct 9, 2004 to Oct 1, 2005",Fall 2004,,,Sunrise,Original,,R - 17+ (violence & profanity),2687,1530,,1206,2210,70845,,2749
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ Gundam,,TV,50,"Apr 9, 1999 to Apr 14, 2000",Spring 1999,,,"Sunrise, Nakamura Production",Original,,PG-13 - Teens 13 or older,1018,2714,,760,2378,14651,,1448
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",Mobile Fighter G Gundam,,TV,49,"Apr 1, 1994 to Mar 31, 1995",Spring 1994,,,Sunrise,Original,,PG-13 - Teens 13 or older,1396,2109,,896,2499,38653,,1607
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",Last Exile,,TV,26,"Apr 8, 2003 to Sep 30, 2003",Spring 2003,,,Gonzo,Original,,PG-13 - Teens 13 or older,795,995,,1848,5943,77235,,5038
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",My-Hime,,TV,26,"Sep 30, 2004 to Mar 31, 2005",Fall 2004,,,Sunrise,Original,,PG-13 - Teens 13 or older,1698,1381,,1262,3442,60321,,4215
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",My-Otome,,TV,26,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,,,Sunrise,Original,,PG-13 - Teens 13 or older,2308,2370,,333,1147,31335,,1598
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",Prétear:The New Legend of Snow White,,TV,13,"Apr 4, 2001 to Jun 27, 2001",Spring 2001,,,Hal Film Maker,Manga,,PG-13 - Teens 13 or older,2785,2162,,457,1607,33827,,1760
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",Air,,TV,12,"Jan 7, 2005 to Mar 25, 2005",Winter 2005,,,Kyoto Animation,Visual novel,,PG-13 - Teens 13 or older,2230,563,,2704,7367,170036,,9992
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",Unknown,,TV,26,"Apr 3, 2004 to Oct 9, 2004",Spring 2004,,,TMS Entertainment,Manga,,PG-13 - Teens 13 or older,1634,1529,,571,3772,59770,,4946
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",Red Riding Hood Chacha,,TV,74,"Jan 7, 1994 to Jun 30, 1995",Winter 1994,,,Gallop,Manga,,G - All Ages,1941,4551,,88,691,5140,,994
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo","Ceres, Celestial Legend",,TV,24,"Apr 20, 2000 to Sep 28, 2000",Spring 2000,,,Studio Pierrot,Manga,,R - 17+ (violence & profanity),2641,2182,,535,2099,31162,,3400
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",Boys Be...,,TV,13,"Apr 11, 2000 to Jul 4, 2000",Spring 2000,,,Hal Film Maker,Manga,,PG-13 - Teens 13 or older,6088,3665,,41,768,10371,,1385
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",Hana Yori Dango,,TV,51,"Sep 8, 1996 to Aug 31, 1997",Fall 1996,,,Toei Animation,Manga,,PG-13 - Teens 13 or older,1027,2293,,762,2502,25257,,2974
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Jing:King of Bandits,,TV,13,"May 15, 2002 to Aug 14, 2002",Spring 2002,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,2625,2817,,210,1343,16532,,1714
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",Jing:King of Bandits - Seventh Heaven,,OVA,3,"Jan 21, 2004 to Apr 28, 2004",Unknown,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,2367,4619,,29,283,7309,,159
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",Burst Angel,,TV,24,"Apr 7, 2004 to Sep 15, 2004",Spring 2004,,,Gonzo,Original,,PG-13 - Teens 13 or older,4381,1965,,257,2789,34321,,4492
110,Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",Unknown,,TV,52,"Apr 27, 1997 to Sep 13, 1998",Spring 1997,,,Nippon Animation,Manga,,PG-13 - Teens 13 or older,1195,4086,,107,990,8203,,817
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",Corrector Yui,,TV,52,"Apr 9, 1999 to Oct 20, 2000",Spring 1999,,,Nippon Animation,Original,,PG - Children,4318,4519,,50,463,6825,,963
112,Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",The Cosmopolitan Prayers,,TV,8,"Jan 12, 2004 to Mar 1, 2004",Winter 2004,,,"Imagin, Studio Live",Original,,PG-13 - Teens 13 or older,10648,5542,,5,269,3567,,568
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",Stellvia,,TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,,,Xebec,Original,,PG-13 - Teens 13 or older,1980,3577,,127,820,10722,,960
114,Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",Cromartie High School,,TV,26,"Oct 3, 2003 to Mar 26, 2004",Fall 2003,,,Production I.G,Manga,,PG-13 - Teens 13 or older,631,1279,,1561,8242,49634,,5164
115,El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",Unknown,,TV,13,"Jan 8, 1998 to Mar 26, 1998",Winter 1998,,,AIC,Original,,PG-13 - Teens 13 or older,4315,4961,,10,275,6251,,352
116,El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",El-Hazard:The Wanderers,,TV,26,"Oct 6, 1995 to Mar 29, 1996",Fall 1995,,,AIC,Original,,PG-13 - Teens 13 or older,3735,4198,,35,613,8190,,667
117,El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",Unknown,,OVA,7,"May 26, 1995 to Jan 25, 1996",Unknown,,,AIC,Original,,PG-13 - Teens 13 or older,2240,4129,,91,521,9059,,352
118,El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",Unknown,,OVA,4,"Mar 21, 1997 to Oct 25, 1997",Unknown,,,AIC,Original,,PG-13 - Teens 13 or older,4239,5421,,5,163,5472,,120
119,Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",Unknown,,TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,,,Zexcs,Visual novel,,PG-13 - Teens 13 or older,5567,2887,,48,958,21798,,1088
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",Fruits Basket,,TV,26,"Jul 5, 2001 to Dec 27, 2001",Summer 2001,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,1058,314,,9504,15410,297921,,16709
121,Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Fullmetal Alchemist,,TV,51,"Oct 4, 2003 to Oct 2, 2004",Fall 2003,,,Bones,Manga,,PG-13 - Teens 13 or older,337,52,,26564,52738,880215,,38693
122,Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",Searching for the Full Moon,,TV,52,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,,,Studio Deen,Manga,,PG-13 - Teens 13 or older,585,1519,,1823,3807,51760,,5484
